,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
GOMF_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY,0.75522752,-0.052714591,5.369608215,1.11E-05,0.088407397,2.858083119,4.955713064
MIR_6396,0.561556242,-0.060164699,5.208052657,1.71E-05,0.088407397,2.515116543,4.767085934
GOBP_TRABECULA_FORMATION,-0.48458063,0.045202762,-4.606260621,8.65E-05,0.232140057,1.221100691,4.062759267
GOBP_PLASMA_MEMBRANE_FUSION,-0.615628254,0.115582808,-4.590048013,9.04E-05,0.232140057,1.186016156,4.043801876
GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,0.641922996,-0.008710193,4.384423243,0.000157129,0.232140057,0.740780341,3.803743837
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,-0.4657645,-0.015381846,-4.342656279,0.000175755,0.232140057,0.650346419,3.755092683
GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY,-0.654913887,0.188366032,-4.31778945,0.000187867,0.232140057,0.596515891,3.726148986
GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,-0.766254012,0.184848531,-4.300799342,0.000196615,0.232140057,0.559742769,3.706383295
GOBP_BLASTODERM_SEGMENTATION,-0.615765663,0.108789914,-4.148434764,0.000295436,0.232140057,0.230320817,3.529536308
GOBP_HISTONE_H4_K5_ACETYLATION,0.625072438,-0.029723399,4.140045818,0.000302118,0.232140057,0.212208066,3.51982315
WP_GPCRS_OTHER,-0.381864989,0.070796711,-4.133664416,0.000307301,0.232140057,0.198431986,3.512436251
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,0.460250026,-0.0532065,4.114570408,0.000323338,0.232140057,0.157223619,3.490343228
GOBP_GLIAL_CELL_DEVELOPMENT,-0.332652783,0.043112535,-4.106361562,0.000330484,0.232140057,0.139512933,3.480849541
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT,-0.581974507,0.038832107,-4.078412985,0.000356002,0.232140057,0.079239891,3.448547299
GOCC_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX,0.5626186,-0.050539014,3.992731821,0.000446959,0.232140057,-0.105250419,3.349732501
GOBP_HISTONE_H2A_ACETYLATION,0.557585254,-0.045705002,3.9788972,0.00046365,0.232140057,-0.134993818,3.333809304
GOBP_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,0.511897784,-0.027390276,3.969046786,0.000475907,0.232140057,-0.156163014,3.322477513
LEIN_MIDBRAIN_MARKERS,-0.412579422,0.075739151,-3.968471893,0.000476633,0.232140057,-0.157398276,3.321816312
GOBP_RNA_DECAPPING,0.601000085,-0.035117069,3.925764279,0.000533649,0.232140057,-0.249092124,3.272743918
GOCC_90S_PRERIBOSOME,0.586063362,-0.062837554,3.925237114,0.000534394,0.232140057,-0.250223046,3.272138779
GOMF_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY,-0.648794024,0.019657106,-3.91534162,0.000548552,0.232140057,-0.271447508,3.260782332
GOCC_CYTOSOLIC_REGION,0.356761736,-0.028841536,3.903634741,0.000565778,0.232140057,-0.296546502,3.247353826
REACTOME_HATS_ACETYLATE_HISTONES,0.617414455,-0.04354943,3.888564923,0.000588737,0.232140057,-0.328838059,3.230078769
